2020-07-14T07:27:07,537 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.karaf.command.acl.kar.cfg
2020-07-14T07:27:07,588 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from jmx.acl.org.apache.camel.cfg
2020-07-14T07:27:07,597 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.karaf.command.acl.system.cfg
2020-07-14T07:27:07,612 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.karaf.management.cfg
2020-07-14T07:27:07,619 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from jmx.acl.org.apache.karaf.security.jmx.cfg
2020-07-14T07:27:07,625 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.ops4j.pax.url.mvn.cfg
2020-07-14T07:27:07,634 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.karaf.command.acl.feature.cfg
2020-07-14T07:27:07,806 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.karaf.jaas.cfg
2020-07-14T07:27:07,832 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.karaf.command.acl.scope_bundle.cfg
2020-07-14T07:27:07,922 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from jmx.acl.cfg
2020-07-14T07:27:07,932 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from jmx.acl.osgi.compendium.cm.cfg
2020-07-14T07:27:07,956 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.karaf.command.acl.jaas.cfg
2020-07-14T07:27:07,959 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from jmx.acl.java.lang.Memory.cfg
2020-07-14T07:27:08,020 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.karaf.shell.cfg
2020-07-14T07:27:08,024 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from org.apache.karaf.command.acl.shell.cfg
2020-07-14T07:27:08,032 | INFO  | FelixStartLevel  | fileinstall                      | 8 - org.apache.felix.fileinstall - 3.6.4 | Creating configuration from de.fhg.dfcontrol.rules.cfg
2020-07-14T07:27:08,322 | WARN  | FelixStartLevel  | MavenRepositoryURL               | 2 - org.ops4j.pax.url.mvn - 2.6.2 | Repository spec file:/root/system/ does not contain an identifier. Give your repository a name, for example: file:/root/system@snapshots@id=MyName
2020-07-14T07:27:08,768 | INFO  | FelixStartLevel  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 | Adding features: wrap/[2.6.2,2.6.2]
2020-07-14T07:27:08,818 | WARN  | downloader-3-thread-1 | MavenRepositoryURL               | 2 - org.ops4j.pax.url.mvn - 2.6.2 | Repository spec file:/root/system/ does not contain an identifier. Give your repository a name, for example: file:/root/system@snapshots@id=MyName
2020-07-14T07:27:08,873 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 | Changes to perform:
2020-07-14T07:27:08,874 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |   Region: root
2020-07-14T07:27:08,874 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |     Bundles to install:
2020-07-14T07:27:08,875 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.2/jar/uber
2020-07-14T07:27:08,879 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 | Installing bundles:
2020-07-14T07:27:08,880 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.2/jar/uber
2020-07-14T07:27:08,899 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 | Starting bundles:
2020-07-14T07:27:08,900 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |   org.ops4j.pax.url.wrap/2.6.2
2020-07-14T07:27:08,907 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 | Done.
2020-07-14T07:27:08,912 | INFO  | FelixStartLevel  | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 | Adding features: framework/[4.2.8,4.2.8],kar/[4.2.8,4.2.8],service/[4.2.8,4.2.8],config/[4.2.8,4.2.8],ids/[3.0.2,3.0.2],package/[4.2.8,4.2.8],shell/[4.2.8,4.2.8],feature/[4.2.8,4.2.8],deployer/[4.2.8,4.2.8],shell-compat/[4.2.8,4.2.8],ssh/[4.2.8,4.2.8],management/[4.2.8,4.2.8],system/[4.2.8,4.2.8],log/[4.2.8,4.2.8],bundle/[4.2.8,4.2.8],aries-blueprint/[4.2.8,4.2.8]
2020-07-14T07:27:08,924 | WARN  | downloader-4-thread-1 | MavenRepositoryURL               | 2 - org.ops4j.pax.url.mvn - 2.6.2 | Repository spec file:/root/system/ does not contain an identifier. Give your repository a name, for example: file:/root/system@snapshots@id=MyName
2020-07-14T07:27:14,247 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 | Changes to perform:
2020-07-14T07:27:14,257 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |   Region: root
2020-07-14T07:27:14,260 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |     Bundles to install:
2020-07-14T07:27:14,265 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:org.bouncycastle/bcprov-jdk15on/1.57
2020-07-14T07:27:14,269 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/camel-ids/3.0.2
2020-07-14T07:27:14,284 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/camel-idscp2/3.0.2
2020-07-14T07:27:14,289 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/camel-influxdb/3.0.2
2020-07-14T07:27:14,291 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/camel-multipart-processor/3.0.2
2020-07-14T07:27:14,295 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.codepoetics/protonpack/1.8
2020-07-14T07:27:14,300 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.core/jackson-annotations/2.9.10
2020-07-14T07:27:14,305 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.core/jackson-annotations/2.10.2
2020-07-14T07:27:14,310 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.core/jackson-core/2.9.10
2020-07-14T07:27:14,313 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.core/jackson-core/2.10.2
2020-07-14T07:27:14,320 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.core/jackson-databind/2.9.10
2020-07-14T07:27:14,327 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.core/jackson-databind/2.10.2
2020-07-14T07:27:14,333 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.9.10
2020-07-14T07:27:14,338 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.dataformat/jackson-dataformat-yaml/2.10.2
2020-07-14T07:27:14,338 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       wrap:mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.9.10$overwrite=merge&Import-Package=javax.ws.rs*;version="[2.0,3)",com.fasterxml.jackson*;version="[2.8,3)"
2020-07-14T07:27:14,343 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-base/2.10.2
2020-07-14T07:27:14,351 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       wrap:mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.9.10$overwrite=merge&Import-Package=javax.ws.rs*;version="[2.0,3)",com.fasterxml.jackson.module.jaxb;resolution:=optional;version="[2.8,3)",com.fasterxml.jackson*;version="[2.8,3)"
2020-07-14T07:27:14,356 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.jaxrs/jackson-jaxrs-json-provider/2.10.2
2020-07-14T07:27:14,363 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.9.10
2020-07-14T07:27:14,370 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.jackson.module/jackson-module-jaxb-annotations/2.10.2
2020-07-14T07:27:14,376 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.fasterxml.woodstox/woodstox-core/5.0.3
2020-07-14T07:27:14,380 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.github.ben-manes.caffeine/caffeine/2.8.0
2020-07-14T07:27:14,382 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.github.jnr/jnr-ffi/2.1.5
2020-07-14T07:27:14,383 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.github.jnr/jffi/1.2.15
2020-07-14T07:27:14,387 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.github.jnr/jffi/1.2.15/jar/native
2020-07-14T07:27:14,389 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.google.code.gson/gson/2.6.2
2020-07-14T07:27:14,391 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.google.guava/guava/19.0
2020-07-14T07:27:14,393 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.google.guava/guava/27.0-jre
2020-07-14T07:27:14,397 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.google.protobuf/protobuf-java/3.10.0
2020-07-14T07:27:14,402 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.jayway.jsonpath/json-path/2.4.0
2020-07-14T07:27:14,406 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.sun.activation/javax.activation/1.2.0
2020-07-14T07:27:14,408 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:com.sun.istack/istack-commons-runtime/3.0.7
2020-07-14T07:27:14,412 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       wrap:mvn:com.typesafe.netty/netty-reactive-streams/2.0.3
2020-07-14T07:27:14,420 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/cxf-jaxws-patch/3.0.2
2020-07-14T07:27:14,424 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-acme/3.0.2
2020-07-14T07:27:14,424 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-api/2.1.0
2020-07-14T07:27:14,427 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-comm/1.1.0
2020-07-14T07:27:14,430 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-container-manager/3.0.2
2020-07-14T07:27:14,431 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-dataflow-control/3.0.2
2020-07-14T07:27:14,434 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-dynamic-tls/3.0.2
2020-07-14T07:27:14,437 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-endpoint-config/3.0.2
2020-07-14T07:27:14,444 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-infomodel-manager/3.0.2
2020-07-14T07:27:14,446 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-route-manager/3.0.2
2020-07-14T07:27:14,448 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-settings/3.0.2
2020-07-14T07:27:14,452 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-token-manager/3.0.2
2020-07-14T07:27:14,453 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/ids-webconsole/3.0.2
2020-07-14T07:27:14,453 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:de.fhg.aisec.ids/idscp2/1.0.0
2020-07-14T07:27:14,455 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.dropwizard.metrics/metrics-core/3.2.6
2020-07-14T07:27:14,458 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.netty/netty-buffer/4.1.25.Final
2020-07-14T07:27:14,463 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.netty/netty-codec/4.1.25.Final
2020-07-14T07:27:14,465 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.netty/netty-codec-dns/4.1.25.Final
2020-07-14T07:27:14,469 | INFO  | features-2-thread-1 | FeaturesServiceImpl              | 9 - org.apache.karaf.features.core - 4.2.8 |       mvn:io.netty/netty-codec-http/4.1.25.Final
